11.05.2022-11:43:32 main                                          DBLOG           Connecting to database
11.05.2022-11:43:33 loop                                          Main            Websiteupdate requested
11.05.2022-11:43:33 loop                                          Main            Successfully updated 0 websites
11.05.2022-11:43:33 loop                                          Main            Pingrequest requested
11.05.2022-11:44:03 loop                                          Main            Pingrequest requested
11.05.2022-11:44:33 loop                                          Main            Pingrequest requested
11.05.2022-11:44:34 loop                                          Main            Pingrequest requested
11.05.2022-11:45:04 loop                                          Main            Pingrequest requested
11.05.2022-11:45:34 loop                                          Main            Pingrequest requested
11.05.2022-11:45:35 loop                                          Main            Pingrequest requested
11.05.2022-11:46:05 loop                                          Main            Pingrequest requested
11.05.2022-11:46:35 loop                                          Main            Pingrequest requested
11.05.2022-11:46:36 loop                                          Main            Pingrequest requested
11.05.2022-11:47:06 loop                                          Main            Pingrequest requested
11.05.2022-11:47:36 loop                                          Main            Pingrequest requested
11.05.2022-11:47:37 loop                                          Main            Pingrequest requested
11.05.2022-11:48:07 loop                                          Main            Pingrequest requested
11.05.2022-11:48:37 loop                                          Main            Pingrequest requested
11.05.2022-11:48:38 loop                                          Main            Pingrequest requested
11.05.2022-11:49:08 loop                                          Main            Pingrequest requested
11.05.2022-11:49:38 loop                                          Main            Pingrequest requested
11.05.2022-11:49:39 loop                                          Main            Pingrequest requested
11.05.2022-11:50:09 loop                                          Main            Pingrequest requested
11.05.2022-11:50:39 loop                                          Main            Pingrequest requested
11.05.2022-11:50:40 loop                                          Main            Pingrequest requested
11.05.2022-11:51:10 loop                                          Main            Pingrequest requested
11.05.2022-11:51:40 loop                                          Main            Pingrequest requested
11.05.2022-11:51:41 loop                                          Main            Pingrequest requested
11.05.2022-11:52:11 loop                                          Main            Pingrequest requested
11.05.2022-11:52:41 loop                                          Main            Pingrequest requested
11.05.2022-11:52:42 loop                                          Main            Pingrequest requested
11.05.2022-11:53:12 loop                                          Main            Pingrequest requested
11.05.2022-11:53:42 loop                                          Main            Pingrequest requested
11.05.2022-11:53:43 loop                                          Main            Pingrequest requested
11.05.2022-11:54:13 loop                                          Main            Pingrequest requested
11.05.2022-11:54:43 loop                                          Main            Pingrequest requested
11.05.2022-11:54:44 loop                                          Main            Pingrequest requested
11.05.2022-11:55:14 loop                                          Main            Pingrequest requested
11.05.2022-11:55:44 loop                                          Main            Pingrequest requested
11.05.2022-11:55:45 loop                                          Main            Pingrequest requested
11.05.2022-11:56:15 loop                                          Main            Pingrequest requested
11.05.2022-11:56:45 loop                                          Main            Pingrequest requested
11.05.2022-11:56:46 loop                                          Main            Pingrequest requested
11.05.2022-11:57:16 loop                                          Main            Pingrequest requested
11.05.2022-11:57:46 loop                                          Main            Pingrequest requested
11.05.2022-11:57:47 loop                                          Main            Pingrequest requested
11.05.2022-11:58:17 loop                                          Main            Pingrequest requested
11.05.2022-11:58:48 loop                                          Main            Pingrequest requested
11.05.2022-11:58:49 loop                                          Main            Pingrequest requested
11.05.2022-11:59:19 loop                                          Main            Pingrequest requested
11.05.2022-11:59:49 loop                                          Main            Pingrequest requested
11.05.2022-11:59:50 loop                                          Main            Pingrequest requested
11.05.2022-12:00:20 loop                                          Main            Pingrequest requested
11.05.2022-12:00:50 loop                                          Main            Pingrequest requested
11.05.2022-12:00:51 loop                                          Main            Pingrequest requested
11.05.2022-12:01:21 loop                                          Main            Pingrequest requested
11.05.2022-12:01:51 loop                                          Main            Pingrequest requested
11.05.2022-12:01:52 loop                                          Main            Pingrequest requested
11.05.2022-12:02:22 loop                                          Main            Pingrequest requested
11.05.2022-12:02:52 loop                                          Main            Pingrequest requested
11.05.2022-12:02:53 loop                                          Main            Pingrequest requested
11.05.2022-12:03:23 loop                                          Main            Pingrequest requested
11.05.2022-12:03:53 loop                                          Main            Pingrequest requested
11.05.2022-12:03:54 loop                                          Main            Pingrequest requested
11.05.2022-12:04:24 loop                                          Main            Pingrequest requested
11.05.2022-12:04:54 loop                                          Main            Pingrequest requested
11.05.2022-12:04:55 loop                                          Main            Pingrequest requested
11.05.2022-12:05:26 loop                                          Main            Pingrequest requested
11.05.2022-12:05:56 loop                                          Main            Pingrequest requested
11.05.2022-12:05:57 loop                                          Main            Pingrequest requested
11.05.2022-12:06:27 loop                                          Main            Pingrequest requested
11.05.2022-12:06:57 loop                                          Main            Pingrequest requested
11.05.2022-12:06:58 loop                                          Main            Pingrequest requested
11.05.2022-12:07:28 loop                                          Main            Pingrequest requested
11.05.2022-12:07:58 loop                                          Main            Pingrequest requested
11.05.2022-12:07:59 loop                                          Main            Pingrequest requested
11.05.2022-12:08:29 loop                                          Main            Pingrequest requested
11.05.2022-12:08:59 loop                                          Main            Pingrequest requested
11.05.2022-12:09:00 loop                                          Main            Pingrequest requested
11.05.2022-12:09:30 loop                                          Main            Pingrequest requested
11.05.2022-12:10:00 loop                                          Main            Pingrequest requested
11.05.2022-12:10:01 loop                                          Main            Pingrequest requested
11.05.2022-12:10:31 loop                                          Main            Pingrequest requested
11.05.2022-12:11:01 loop                                          Main            Pingrequest requested
11.05.2022-12:11:02 loop                                          Main            Pingrequest requested
11.05.2022-12:11:33 loop                                          Main            Pingrequest requested
11.05.2022-12:12:03 loop                                          Main            Pingrequest requested
11.05.2022-12:12:04 loop                                          Main            Pingrequest requested
11.05.2022-12:12:34 loop                                          Main            Pingrequest requested
11.05.2022-12:13:04 loop                                          Main            Pingrequest requested
11.05.2022-12:13:05 loop                                          Main            Pingrequest requested
11.05.2022-12:13:35 loop                                          Main            Pingrequest requested
11.05.2022-12:14:05 loop                                          Main            Pingrequest requested
11.05.2022-12:14:06 loop                                          Main            Websiteupdate requested
11.05.2022-12:14:06 loop                                          Main            Successfully updated 1 websites
11.05.2022-12:14:06 loop                                          Main            Pingrequest requested
11.05.2022-12:14:36 loop                                          Main            Pingrequest requested
11.05.2022-12:15:06 loop                                          Main            Pingrequest requested
11.05.2022-12:15:07 loop                                          Main            Pingrequest requested
11.05.2022-12:15:37 loop                                          Main            Pingrequest requested
11.05.2022-12:16:07 loop                                          Main            Pingrequest requested
11.05.2022-12:16:08 loop                                          Main            Pingrequest requested
11.05.2022-12:16:38 loop                                          Main            Pingrequest requested
11.05.2022-12:17:08 loop                                          Main            Pingrequest requested
11.05.2022-12:17:09 loop                                          Main            Pingrequest requested
11.05.2022-12:17:39 loop                                          Main            Pingrequest requested
11.05.2022-12:18:09 loop                                          Main            Pingrequest requested
11.05.2022-12:18:10 loop                                          Main            Pingrequest requested
11.05.2022-12:18:40 loop                                          Main            Pingrequest requested
11.05.2022-12:19:10 loop                                          Main            Pingrequest requested
11.05.2022-12:19:11 loop                                          Main            Pingrequest requested
11.05.2022-12:19:41 loop                                          Main            Pingrequest requested
11.05.2022-12:20:11 loop                                          Main            Pingrequest requested
11.05.2022-12:20:12 loop                                          Main            Pingrequest requested
11.05.2022-12:20:42 loop                                          Main            Pingrequest requested
11.05.2022-12:21:12 loop                                          Main            Pingrequest requested
11.05.2022-12:21:13 loop                                          Main            Pingrequest requested
11.05.2022-12:21:43 loop                                          Main            Pingrequest requested
11.05.2022-12:22:14 loop                                          Main            Pingrequest requested
11.05.2022-12:22:15 loop                                          Main            Pingrequest requested
11.05.2022-12:22:45 loop                                          Main            Pingrequest requested
11.05.2022-12:23:15 loop                                          Main            Pingrequest requested
11.05.2022-12:23:16 loop                                          Main            Pingrequest requested
11.05.2022-12:23:46 loop                                          Main            Pingrequest requested
11.05.2022-12:24:16 loop                                          Main            Pingrequest requested
11.05.2022-12:24:17 loop                                          Main            Pingrequest requested
11.05.2022-12:24:47 loop                                          Main            Pingrequest requested
11.05.2022-12:25:17 loop                                          Main            Pingrequest requested
11.05.2022-12:25:18 loop                                          Main            Pingrequest requested
11.05.2022-12:25:48 loop                                          Main            Pingrequest requested
11.05.2022-12:26:18 loop                                          Main            Pingrequest requested
11.05.2022-12:26:19 loop                                          Main            Pingrequest requested
11.05.2022-12:26:49 loop                                          Main            Pingrequest requested
11.05.2022-12:27:19 loop                                          Main            Pingrequest requested
11.05.2022-12:27:20 loop                                          Main            Pingrequest requested
11.05.2022-12:27:50 loop                                          Main            Pingrequest requested
11.05.2022-12:28:20 loop                                          Main            Pingrequest requested
11.05.2022-12:28:21 loop                                          Main            Pingrequest requested
11.05.2022-12:28:51 loop                                          Main            Pingrequest requested
11.05.2022-12:29:21 loop                                          Main            Pingrequest requested
11.05.2022-12:29:22 loop                                          Main            Pingrequest requested
11.05.2022-12:29:52 loop                                          Main            Pingrequest requested
11.05.2022-12:30:23 loop                                          Main            Pingrequest requested
11.05.2022-12:30:24 loop                                          Main            Pingrequest requested
11.05.2022-12:30:54 loop                                          Main            Pingrequest requested
11.05.2022-12:31:24 loop                                          Main            Pingrequest requested
11.05.2022-12:31:25 loop                                          Main            Pingrequest requested
11.05.2022-12:31:55 loop                                          Main            Pingrequest requested
11.05.2022-12:32:25 loop                                          Main            Pingrequest requested
11.05.2022-12:32:26 loop                                          Main            Pingrequest requested
11.05.2022-12:32:56 loop                                          Main            Pingrequest requested
11.05.2022-12:33:26 loop                                          Main            Pingrequest requested
11.05.2022-12:33:27 loop                                          Main            Pingrequest requested
11.05.2022-12:33:57 loop                                          Main            Pingrequest requested
11.05.2022-12:34:27 loop                                          Main            Pingrequest requested
11.05.2022-12:34:28 loop                                          Main            Pingrequest requested
11.05.2022-12:34:58 loop                                          Main            Pingrequest requested
11.05.2022-12:35:28 loop                                          Main            Pingrequest requested
11.05.2022-12:35:29 loop                                          Main            Pingrequest requested
11.05.2022-12:35:59 loop                                          Main            Pingrequest requested
11.05.2022-12:36:29 loop                                          Main            Pingrequest requested
11.05.2022-12:36:30 loop                                          Main            Pingrequest requested
