11.05.2022-15:15:29 main                                          DBLOG           Connecting to database
11.05.2022-15:15:31 loop                                          Main            Websiteupdate requested
11.05.2022-15:15:31 loop                                          Main            Successfully updated 1 websites
11.05.2022-15:15:31 loop                                          Main            Pingrequest requested
11.05.2022-15:15:35 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:15:35 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:16:08 loop                                          Main            Pingrequest requested
11.05.2022-15:16:44 loop                                          Main            Pingrequest requested
11.05.2022-15:16:51 loop                                          Main            Pingrequest requested
