10.05.2022-15:48:27 main                                          DBLOG           Connecting to database
10.05.2022-15:48:27 main                                          Main            Webserver started
10.05.2022-15:48:28 loop                                          Main            Websiteupdate requested
10.05.2022-15:48:28 loop                                          Main            Successfully updated 3 websites
10.05.2022-15:48:28 loop                                          Main            Pingrequest requested
10.05.2022-15:48:58 loop                                          Main            Pingrequest requested
10.05.2022-15:49:28 loop                                          Main            Pingrequest requested
10.05.2022-15:49:29 loop                                          Main            Pingrequest requested
10.05.2022-15:50:00 loop                                          Main            Pingrequest requested
10.05.2022-15:50:30 loop                                          Main            Pingrequest requested
10.05.2022-15:50:31 loop                                          Main            Pingrequest requested
10.05.2022-15:51:01 loop                                          Main            Pingrequest requested
10.05.2022-15:51:31 loop                                          Main            Pingrequest requested
10.05.2022-15:51:32 loop                                          Main            Pingrequest requested
10.05.2022-15:52:02 loop                                          Main            Pingrequest requested
10.05.2022-15:52:32 loop                                          Main            Pingrequest requested
10.05.2022-15:52:33 loop                                          Main            Pingrequest requested
10.05.2022-15:53:03 loop                                          Main            Pingrequest requested
10.05.2022-15:53:33 loop                                          Main            Pingrequest requested
10.05.2022-15:53:34 loop                                          Main            Pingrequest requested
10.05.2022-15:54:05 loop                                          Main            Pingrequest requested
10.05.2022-15:54:35 loop                                          Main            Pingrequest requested
10.05.2022-15:54:36 loop                                          Main            Pingrequest requested
10.05.2022-15:55:06 loop                                          Main            Pingrequest requested
10.05.2022-15:55:36 loop                                          Main            Pingrequest requested
10.05.2022-15:55:37 loop                                          Main            Pingrequest requested
10.05.2022-15:56:07 loop                                          Main            Pingrequest requested
10.05.2022-15:56:37 loop                                          Main            Pingrequest requested
10.05.2022-15:56:38 loop                                          Main            Pingrequest requested
