11.05.2022-15:23:26 main                                          DBLOG           Connecting to database
11.05.2022-15:23:27 loop                                          Main            Websiteupdate requested
11.05.2022-15:23:27 loop                                          Main            Successfully updated 2 websites
11.05.2022-15:23:27 loop                                          Main            Pingrequest requested
11.05.2022-15:23:41 HTTP-Dispatcher                               Main            Successfully updated 3 websites
11.05.2022-15:23:58 loop                                          Main            Pingrequest requested
11.05.2022-15:24:28 loop                                          Main            Pingrequest requested
11.05.2022-15:24:29 loop                                          Main            Pingrequest requested
11.05.2022-15:24:59 loop                                          Main            Pingrequest requested
11.05.2022-15:25:30 loop                                          Main            Pingrequest requested
11.05.2022-15:25:31 loop                                          Main            Pingrequest requested
11.05.2022-15:26:02 loop                                          Main            Pingrequest requested
11.05.2022-15:26:32 loop                                          Main            Pingrequest requested
11.05.2022-15:26:34 loop                                          Main            Pingrequest requested
11.05.2022-15:27:04 loop                                          Main            Pingrequest requested
11.05.2022-15:27:34 loop                                          Main            Pingrequest requested
11.05.2022-15:27:36 loop                                          Main            Pingrequest requested
11.05.2022-15:28:06 loop                                          Main            Pingrequest requested
11.05.2022-15:28:36 loop                                          Main            Pingrequest requested
11.05.2022-15:28:37 loop                                          Main            Pingrequest requested
11.05.2022-15:29:08 loop                                          Main            Pingrequest requested
11.05.2022-15:29:38 loop                                          Main            Pingrequest requested
11.05.2022-15:29:39 loop                                          Main            Pingrequest requested
11.05.2022-15:30:10 loop                                          Main            Pingrequest requested
