11.05.2022-15:41:32 main                                          DBLOG           Connecting to database
11.05.2022-15:41:33 loop                                          Main            Websiteupdate requested
11.05.2022-15:41:33 loop                                          Main            Successfully updated 2 websites
11.05.2022-15:41:33 loop                                          Main            Pingrequest requested
11.05.2022-15:42:04 loop                                          Main            Pingrequest requested
11.05.2022-15:42:12 HTTP-Dispatcher                               Main            Successfully updated 3 websites
11.05.2022-15:42:34 loop                                          Main            Pingrequest requested
11.05.2022-15:42:36 loop                                          Main            Pingrequest requested
11.05.2022-15:43:06 loop                                          Main            Pingrequest requested
11.05.2022-15:43:13 Shutdown                                      Main            Schutdown initiated
