11.05.2022-11:33:59 main                                          DBLOG           Connecting to database
11.05.2022-11:34:01 loop                                          Main            Websiteupdate requested
11.05.2022-11:34:01 loop                                          Main            Successfully updated 0 websites
11.05.2022-11:34:01 loop                                          Main            Pingrequest requested
11.05.2022-11:34:31 loop                                          Main            Pingrequest requested
11.05.2022-11:35:01 loop                                          Main            Pingrequest requested
11.05.2022-11:35:02 loop                                          Main            Pingrequest requested
11.05.2022-11:35:32 loop                                          Main            Pingrequest requested
11.05.2022-11:36:02 loop                                          Main            Pingrequest requested
11.05.2022-11:36:03 loop                                          Main            Pingrequest requested
11.05.2022-11:36:33 loop                                          Main            Pingrequest requested
11.05.2022-11:37:03 loop                                          Main            Pingrequest requested
11.05.2022-11:37:04 loop                                          Main            Pingrequest requested
11.05.2022-11:37:34 loop                                          Main            Pingrequest requested
11.05.2022-11:38:04 loop                                          Main            Pingrequest requested
11.05.2022-11:38:05 loop                                          Main            Pingrequest requested
11.05.2022-11:38:35 loop                                          Main            Pingrequest requested
11.05.2022-11:39:05 loop                                          Main            Pingrequest requested
11.05.2022-11:39:06 loop                                          Main            Pingrequest requested
11.05.2022-11:39:36 loop                                          Main            Pingrequest requested
11.05.2022-11:40:06 loop                                          Main            Pingrequest requested
11.05.2022-11:40:07 loop                                          Main            Pingrequest requested
11.05.2022-11:40:37 loop                                          Main            Pingrequest requested
11.05.2022-11:41:07 loop                                          Main            Pingrequest requested
11.05.2022-11:41:08 loop                                          Main            Pingrequest requested
11.05.2022-11:41:38 loop                                          Main            Pingrequest requested
11.05.2022-11:42:08 loop                                          Main            Pingrequest requested
11.05.2022-11:42:09 loop                                          Main            Pingrequest requested
