10.05.2022-11:02:15 main                                          DBLOG           Connecting to database
10.05.2022-11:02:16 loop                                          Main            Websiteupdate requested
10.05.2022-11:02:16 loop                                          Main            Successfully updated 3 websites
10.05.2022-11:02:16 loop                                          Main            Pingrequest requested
10.05.2022-11:02:47 loop                                          Main            Pingrequest requested
10.05.2022-11:03:17 loop                                          Main            Pingrequest requested
10.05.2022-11:03:18 loop                                          Main            Pingrequest requested
10.05.2022-11:03:48 loop                                          Main            Pingrequest requested
10.05.2022-11:04:18 loop                                          Main            Pingrequest requested
10.05.2022-11:04:19 loop                                          Main            Pingrequest requested
10.05.2022-11:04:49 loop                                          Main            Pingrequest requested
10.05.2022-11:05:20 loop                                          Main            Pingrequest requested
10.05.2022-11:05:21 loop                                          Main            Pingrequest requested
10.05.2022-11:05:51 loop                                          Main            Pingrequest requested
10.05.2022-11:06:21 loop                                          Main            Pingrequest requested
10.05.2022-11:06:22 loop                                          Main            Pingrequest requested
10.05.2022-11:06:52 loop                                          Main            Pingrequest requested
10.05.2022-11:07:22 loop                                          Main            Pingrequest requested
10.05.2022-11:07:23 loop                                          Main            Pingrequest requested
10.05.2022-11:07:53 loop                                          Main            Pingrequest requested
10.05.2022-11:08:23 loop                                          Main            Pingrequest requested
10.05.2022-11:08:24 loop                                          Main            Pingrequest requested
10.05.2022-11:08:54 loop                                          Main            Pingrequest requested
10.05.2022-11:09:24 loop                                          Main            Pingrequest requested
10.05.2022-11:09:25 loop                                          Main            Pingrequest requested
10.05.2022-11:09:55 loop                                          Main            Pingrequest requested
10.05.2022-11:10:25 loop                                          Main            Pingrequest requested
10.05.2022-11:10:27 loop                                          Main            Pingrequest requested
10.05.2022-11:10:57 loop                                          Main            Pingrequest requested
10.05.2022-11:11:27 loop                                          Main            Pingrequest requested
10.05.2022-11:11:28 loop                                          Main            Pingrequest requested
10.05.2022-11:11:31 Shutdown                                      Main            Schutdown initiated
