11.05.2022-09:18:24 main                                          DBLOG           Connecting to database
11.05.2022-09:18:25 loop                                          Main            Websiteupdate requested
11.05.2022-09:18:25 loop                                          Main            Successfully updated 3 websites
11.05.2022-09:18:25 loop                                          Main            Pingrequest requested
11.05.2022-09:18:55 loop                                          Main            Pingrequest requested
11.05.2022-09:19:25 loop                                          Main            Pingrequest requested
11.05.2022-09:19:26 loop                                          Main            Pingrequest requested
11.05.2022-09:19:57 loop                                          Main            Pingrequest requested
11.05.2022-09:20:27 loop                                          Main            Pingrequest requested
11.05.2022-09:20:28 loop                                          Main            Pingrequest requested
11.05.2022-09:20:58 loop                                          Main            Pingrequest requested
11.05.2022-09:21:28 loop                                          Main            Pingrequest requested
11.05.2022-09:21:30 loop                                          Main            Pingrequest requested
11.05.2022-09:22:00 loop                                          Main            Pingrequest requested
11.05.2022-09:22:30 loop                                          Main            Pingrequest requested
11.05.2022-09:22:31 loop                                          Main            Pingrequest requested
11.05.2022-09:23:01 loop                                          Main            Pingrequest requested
11.05.2022-09:23:31 loop                                          Main            Pingrequest requested
11.05.2022-09:23:32 loop                                          Main            Pingrequest requested
11.05.2022-09:24:02 loop                                          Main            Pingrequest requested
11.05.2022-09:24:32 loop                                          Main            Pingrequest requested
11.05.2022-09:24:33 loop                                          Main            Pingrequest requested
11.05.2022-09:25:01 Shutdown                                      Main            Schutdown initiated
