10.05.2022-10:33:05 main                                          DBLOG           Connecting to database
10.05.2022-10:33:06 loop                                          Main            Websiteupdate requested
10.05.2022-10:33:06 loop                                          Main            Successfully updated 3 websites
10.05.2022-10:33:06 loop                                          Main            Pingrequest requested
10.05.2022-10:33:37 loop                                          Main            Pingrequest requested
10.05.2022-10:34:07 loop                                          Main            Pingrequest requested
10.05.2022-10:34:08 loop                                          Main            Pingrequest requested
10.05.2022-10:34:38 loop                                          Main            Pingrequest requested
10.05.2022-10:35:08 loop                                          Main            Pingrequest requested
10.05.2022-10:35:09 loop                                          Main            Pingrequest requested
10.05.2022-10:35:39 loop                                          Main            Pingrequest requested
10.05.2022-10:36:09 loop                                          Main            Pingrequest requested
10.05.2022-10:36:10 loop                                          Main            Pingrequest requested
10.05.2022-10:36:40 loop                                          Main            Pingrequest requested
10.05.2022-10:37:10 loop                                          Main            Pingrequest requested
10.05.2022-10:37:11 loop                                          Main            Pingrequest requested
10.05.2022-10:37:41 loop                                          Main            Pingrequest requested
10.05.2022-10:38:11 loop                                          Main            Pingrequest requested
10.05.2022-10:38:12 loop                                          Main            Pingrequest requested
10.05.2022-10:38:42 loop                                          Main            Pingrequest requested
10.05.2022-10:39:12 loop                                          Main            Pingrequest requested
10.05.2022-10:39:13 loop                                          Main            Pingrequest requested
10.05.2022-10:39:43 loop                                          Main            Pingrequest requested
10.05.2022-10:40:13 loop                                          Main            Pingrequest requested
10.05.2022-10:40:14 loop                                          Main            Pingrequest requested
10.05.2022-10:40:45 loop                                          Main            Pingrequest requested
10.05.2022-10:41:15 loop                                          Main            Pingrequest requested
10.05.2022-10:41:16 loop                                          Main            Pingrequest requested
10.05.2022-10:41:46 loop                                          Main            Pingrequest requested
10.05.2022-10:42:16 loop                                          Main            Pingrequest requested
10.05.2022-10:42:17 loop                                          Main            Pingrequest requested
10.05.2022-10:42:47 loop                                          Main            Pingrequest requested
10.05.2022-10:43:17 loop                                          Main            Pingrequest requested
10.05.2022-10:43:18 loop                                          Main            Pingrequest requested
10.05.2022-10:43:48 loop                                          Main            Pingrequest requested
10.05.2022-10:44:18 loop                                          Main            Pingrequest requested
10.05.2022-10:44:19 loop                                          Main            Pingrequest requested
10.05.2022-10:44:49 loop                                          Main            Pingrequest requested
10.05.2022-10:45:19 loop                                          Main            Pingrequest requested
10.05.2022-10:45:20 loop                                          Main            Pingrequest requested
10.05.2022-10:45:50 loop                                          Main            Pingrequest requested
10.05.2022-10:46:20 loop                                          Main            Pingrequest requested
10.05.2022-10:46:21 loop                                          Main            Pingrequest requested
10.05.2022-10:46:51 loop                                          Main            Pingrequest requested
10.05.2022-10:47:21 loop                                          Main            Pingrequest requested
10.05.2022-10:47:22 loop                                          Main            Pingrequest requested
10.05.2022-10:47:52 loop                                          Main            Pingrequest requested
10.05.2022-10:48:23 loop                                          Main            Pingrequest requested
10.05.2022-10:48:24 loop                                          Main            Pingrequest requested
10.05.2022-10:48:54 loop                                          Main            Pingrequest requested
10.05.2022-10:49:24 loop                                          Main            Pingrequest requested
10.05.2022-10:49:25 loop                                          Main            Pingrequest requested
10.05.2022-10:49:55 loop                                          Main            Pingrequest requested
10.05.2022-10:50:25 loop                                          Main            Pingrequest requested
10.05.2022-10:50:26 loop                                          Main            Pingrequest requested
10.05.2022-10:50:56 loop                                          Main            Pingrequest requested
10.05.2022-10:51:26 loop                                          Main            Pingrequest requested
10.05.2022-10:51:27 loop                                          Main            Pingrequest requested
10.05.2022-10:51:57 loop                                          Main            Pingrequest requested
10.05.2022-10:52:27 loop                                          Main            Pingrequest requested
10.05.2022-10:52:28 loop                                          Main            Pingrequest requested
10.05.2022-10:52:58 loop                                          Main            Pingrequest requested
10.05.2022-10:53:28 loop                                          Main            Pingrequest requested
10.05.2022-10:53:29 loop                                          Main            Pingrequest requested
10.05.2022-10:54:00 loop                                          Main            Pingrequest requested
10.05.2022-10:54:30 loop                                          Main            Pingrequest requested
10.05.2022-10:54:31 loop                                          Main            Pingrequest requested
10.05.2022-10:55:01 loop                                          Main            Pingrequest requested
10.05.2022-10:55:31 loop                                          Main            Pingrequest requested
10.05.2022-10:55:32 loop                                          Main            Pingrequest requested
10.05.2022-10:56:02 loop                                          Main            Pingrequest requested
10.05.2022-10:56:32 loop                                          Main            Pingrequest requested
10.05.2022-10:56:33 loop                                          Main            Pingrequest requested
10.05.2022-10:57:03 loop                                          Main            Pingrequest requested
10.05.2022-10:57:33 loop                                          Main            Pingrequest requested
10.05.2022-10:57:34 loop                                          Main            Pingrequest requested
10.05.2022-10:58:04 loop                                          Main            Pingrequest requested
10.05.2022-10:58:34 loop                                          Main            Pingrequest requested
10.05.2022-10:58:35 loop                                          Main            Pingrequest requested
10.05.2022-10:59:05 loop                                          Main            Pingrequest requested
10.05.2022-10:59:35 loop                                          Main            Pingrequest requested
10.05.2022-10:59:37 loop                                          Main            Pingrequest requested
10.05.2022-11:00:04 Shutdown                                      Main            Schutdown initiated
