09.05.2022-17:03:37 main                                          DBLOG           Connecting to database
09.05.2022-17:03:38 loop                                          Main            Websiteupdate requested
09.05.2022-17:03:38 loop                                          Main            Successfully updated 3 websites
09.05.2022-17:03:38 loop                                          Main            Pingrequest requested
09.05.2022-17:04:09 loop                                          Main            Pingrequest requested
09.05.2022-17:04:39 loop                                          Main            Pingrequest requested
09.05.2022-17:04:40 loop                                          Main            Pingrequest requested
09.05.2022-17:05:10 loop                                          Main            Pingrequest requested
09.05.2022-17:05:40 loop                                          Main            Pingrequest requested
09.05.2022-17:05:41 loop                                          Main            Pingrequest requested
09.05.2022-17:06:11 loop                                          Main            Pingrequest requested
09.05.2022-17:06:41 loop                                          Main            Pingrequest requested
09.05.2022-17:06:42 loop                                          Main            Pingrequest requested
09.05.2022-17:07:03 Shutdown                                      Main            Schutdown initiated
