10.05.2022-11:55:32 main                                          DBLOG           Connecting to database
10.05.2022-11:55:33 loop                                          Main            Websiteupdate requested
10.05.2022-11:55:33 loop                                          Main            Successfully updated 3 websites
10.05.2022-11:55:33 loop                                          Main            Pingrequest requested
10.05.2022-11:56:04 loop                                          Main            Pingrequest requested
10.05.2022-11:56:34 loop                                          Main            Pingrequest requested
10.05.2022-11:56:35 loop                                          Main            Pingrequest requested
10.05.2022-11:57:05 loop                                          Main            Pingrequest requested
10.05.2022-11:57:35 loop                                          Main            Pingrequest requested
10.05.2022-11:57:36 loop                                          Main            Pingrequest requested
10.05.2022-11:58:06 loop                                          Main            Pingrequest requested
10.05.2022-11:58:36 loop                                          Main            Pingrequest requested
10.05.2022-11:58:37 loop                                          Main            Pingrequest requested
10.05.2022-11:59:07 loop                                          Main            Pingrequest requested
10.05.2022-11:59:37 loop                                          Main            Pingrequest requested
10.05.2022-11:59:38 loop                                          Main            Pingrequest requested
10.05.2022-12:00:08 loop                                          Main            Pingrequest requested
10.05.2022-12:00:39 loop                                          Main            Pingrequest requested
10.05.2022-12:00:40 loop                                          Main            Pingrequest requested
10.05.2022-12:01:10 loop                                          Main            Pingrequest requested
10.05.2022-12:01:40 loop                                          Main            Pingrequest requested
10.05.2022-12:01:41 loop                                          Main            Pingrequest requested
10.05.2022-12:02:11 loop                                          Main            Pingrequest requested
10.05.2022-12:02:41 loop                                          Main            Pingrequest requested
10.05.2022-12:02:42 loop                                          Main            Pingrequest requested
10.05.2022-12:03:12 loop                                          Main            Pingrequest requested
10.05.2022-12:03:42 loop                                          Main            Pingrequest requested
10.05.2022-12:03:43 loop                                          Main            Pingrequest requested
10.05.2022-12:04:13 loop                                          Main            Pingrequest requested
10.05.2022-12:04:43 loop                                          Main            Pingrequest requested
10.05.2022-12:04:44 loop                                          Main            Pingrequest requested
10.05.2022-12:05:14 loop                                          Main            Pingrequest requested
10.05.2022-12:05:44 loop                                          Main            Pingrequest requested
10.05.2022-12:05:45 loop                                          Main            Pingrequest requested
10.05.2022-12:06:16 loop                                          Main            Pingrequest requested
10.05.2022-12:06:46 loop                                          Main            Pingrequest requested
10.05.2022-12:06:47 loop                                          Main            Pingrequest requested
10.05.2022-12:07:17 loop                                          Main            Pingrequest requested
10.05.2022-12:07:47 loop                                          Main            Pingrequest requested
10.05.2022-12:07:48 loop                                          Main            Pingrequest requested
10.05.2022-12:08:18 loop                                          Main            Pingrequest requested
10.05.2022-12:08:48 loop                                          Main            Pingrequest requested
10.05.2022-12:08:49 loop                                          Main            Pingrequest requested
10.05.2022-12:09:19 loop                                          Main            Pingrequest requested
10.05.2022-12:09:49 loop                                          Main            Pingrequest requested
10.05.2022-12:09:50 loop                                          Main            Pingrequest requested
10.05.2022-12:10:20 loop                                          Main            Pingrequest requested
10.05.2022-12:10:50 loop                                          Main            Pingrequest requested
10.05.2022-12:10:51 loop                                          Main            Pingrequest requested
10.05.2022-12:11:21 loop                                          Main            Pingrequest requested
10.05.2022-12:11:52 loop                                          Main            Pingrequest requested
10.05.2022-12:11:53 loop                                          Main            Pingrequest requested
10.05.2022-12:12:23 loop                                          Main            Pingrequest requested
10.05.2022-12:12:53 loop                                          Main            Pingrequest requested
10.05.2022-12:12:54 loop                                          Main            Pingrequest requested
10.05.2022-12:13:24 loop                                          Main            Pingrequest requested
10.05.2022-12:13:54 Shutdown                                      Main            Schutdown initiated
10.05.2022-12:13:54 loop                                          Main            Pingrequest requested
