12.05.2022-11:35:09 main                                          DBLOG           Connecting to database
12.05.2022-11:35:11 loop                                          Main            Websiteupdate requested
12.05.2022-11:35:11 loop                                          Main            Successfully updated 4 websites
12.05.2022-11:35:11 loop                                          Main            Pingrequest requested
12.05.2022-11:35:42 loop                                          Main            Pingrequest requested
12.05.2022-11:36:12 loop                                          Main            Pingrequest requested
12.05.2022-11:36:13 loop                                          Main            Pingrequest requested
12.05.2022-11:36:28 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:36:43 loop                                          Main            Pingrequest requested
12.05.2022-11:37:05 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:37:14 loop                                          Main            Pingrequest requested
12.05.2022-11:37:15 loop                                          Main            Pingrequest requested
12.05.2022-11:37:45 loop                                          Main            Pingrequest requested
12.05.2022-11:37:49 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:37:59 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:38:15 loop                                          Main            Pingrequest requested
12.05.2022-11:38:16 loop                                          Main            Pingrequest requested
12.05.2022-11:38:46 loop                                          Main            Pingrequest requested
12.05.2022-11:39:17 loop                                          Main            Pingrequest requested
12.05.2022-11:39:18 loop                                          Main            Pingrequest requested
12.05.2022-11:39:48 loop                                          Main            Pingrequest requested
12.05.2022-11:40:03 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:40:11 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:40:19 loop                                          Main            Pingrequest requested
12.05.2022-11:40:20 loop                                          Main            Pingrequest requested
12.05.2022-11:40:25 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:40:33 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:40:50 loop                                          Main            Pingrequest requested
12.05.2022-11:40:51 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:41:20 loop                                          Main            Pingrequest requested
12.05.2022-11:41:22 loop                                          Main            Pingrequest requested
12.05.2022-11:41:30 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:41:52 loop                                          Main            Pingrequest requested
12.05.2022-11:42:22 loop                                          Main            Pingrequest requested
12.05.2022-11:42:23 loop                                          Main            Pingrequest requested
12.05.2022-11:42:53 loop                                          Main            Pingrequest requested
12.05.2022-11:43:24 loop                                          Main            Pingrequest requested
12.05.2022-11:43:25 loop                                          Main            Pingrequest requested
12.05.2022-11:43:45 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:43:55 loop                                          Main            Pingrequest requested
12.05.2022-11:44:25 loop                                          Main            Pingrequest requested
12.05.2022-11:44:26 loop                                          Main            Pingrequest requested
12.05.2022-11:44:56 loop                                          Main            Pingrequest requested
12.05.2022-11:45:18 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:45:27 loop                                          Main            Pingrequest requested
12.05.2022-11:45:28 loop                                          Main            Pingrequest requested
12.05.2022-11:45:33 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:45:58 loop                                          Main            Pingrequest requested
12.05.2022-11:46:29 loop                                          Main            Pingrequest requested
12.05.2022-11:46:30 loop                                          Main            Pingrequest requested
12.05.2022-11:46:37 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:47:00 loop                                          Main            Pingrequest requested
12.05.2022-11:47:37 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:48:16 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:48:48 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:49:17 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:50:27 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:50:35 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:50:57 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:51:28 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-11:52:04 HTTP-Dispatcher                               Main            Successfully updated 4 websites
