10.05.2022-15:31:23 main                                          DBLOG           Connecting to database
10.05.2022-15:31:24 main                                          Main            Webserver started
10.05.2022-15:31:25 loop                                          Main            Websiteupdate requested
10.05.2022-15:31:25 loop                                          Main            Successfully updated 3 websites
10.05.2022-15:31:25 loop                                          Main            Pingrequest requested
10.05.2022-15:31:55 loop                                          Main            Pingrequest requested
10.05.2022-15:32:25 loop                                          Main            Pingrequest requested
10.05.2022-15:32:26 loop                                          Main            Pingrequest requested
10.05.2022-15:32:56 loop                                          Main            Pingrequest requested
10.05.2022-15:33:27 loop                                          Main            Pingrequest requested
10.05.2022-15:33:28 loop                                          Main            Pingrequest requested
10.05.2022-15:33:58 loop                                          Main            Pingrequest requested
10.05.2022-15:34:28 loop                                          Main            Pingrequest requested
10.05.2022-15:34:29 loop                                          Main            Pingrequest requested
10.05.2022-15:34:51 Shutdown                                      Main            Schutdown initiated
