12.05.2022-10:21:56 main                                          DBLOG           Connecting to database
12.05.2022-10:21:57 loop                                          Main            Websiteupdate requested
12.05.2022-10:21:57 loop                                          Main            Successfully updated 3 websites
12.05.2022-10:21:57 loop                                          Main            Pingrequest requested
12.05.2022-10:22:06 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:17 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:18 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:19 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:21 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:22 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:22 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:23 HTTP-Dispatcher                               Main            Successfully updated 3 websites
12.05.2022-10:22:29 loop                                          Main            Pingrequest requested
12.05.2022-10:23:00 loop                                          Main            Pingrequest requested
12.05.2022-10:23:02 loop                                          Main            Pingrequest requested
12.05.2022-10:23:31 HTTP-Dispatcher                               Main            Successfully updated 2 websites
12.05.2022-10:23:33 loop                                          Main            Pingrequest requested
12.05.2022-10:23:34 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:23:41 HTTP-Dispatcher                               Main            Successfully updated 0 websites
12.05.2022-10:23:53 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:24:03 loop                                          Main            Pingrequest requested
12.05.2022-10:24:04 loop                                          Main            Pingrequest requested
12.05.2022-10:24:19 HTTP-Dispatcher                               Main            Successfully updated 0 websites
12.05.2022-10:24:32 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:24:34 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:24:34 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:24:34 loop                                          Main            Pingrequest requested
12.05.2022-10:24:40 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:24:40 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:25:04 loop                                          Main            Pingrequest requested
12.05.2022-10:25:05 loop                                          Main            Pingrequest requested
12.05.2022-10:25:36 loop                                          Main            Pingrequest requested
12.05.2022-10:26:06 loop                                          Main            Pingrequest requested
12.05.2022-10:26:07 loop                                          Main            Pingrequest requested
12.05.2022-10:26:37 loop                                          Main            Pingrequest requested
12.05.2022-10:26:42 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:27:07 loop                                          Main            Pingrequest requested
12.05.2022-10:27:08 loop                                          Main            Pingrequest requested
12.05.2022-10:27:38 loop                                          Main            Pingrequest requested
12.05.2022-10:27:47 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:27:59 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:28:08 loop                                          Main            Pingrequest requested
12.05.2022-10:28:09 loop                                          Main            Pingrequest requested
12.05.2022-10:28:39 loop                                          Main            Pingrequest requested
12.05.2022-10:28:48 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:29:09 loop                                          Main            Pingrequest requested
12.05.2022-10:29:10 loop                                          Main            Pingrequest requested
12.05.2022-10:29:14 HTTP-Dispatcher                               Main            Successfully updated 1 websites
12.05.2022-10:29:40 loop                                          Main            Pingrequest requested
12.05.2022-10:30:10 loop                                          Main            Pingrequest requested
12.05.2022-10:30:11 loop                                          Main            Pingrequest requested
12.05.2022-10:30:41 loop                                          Main            Pingrequest requested
12.05.2022-10:31:11 loop                                          Main            Pingrequest requested
12.05.2022-10:31:12 loop                                          Main            Pingrequest requested
12.05.2022-10:31:43 loop                                          Main            Pingrequest requested
12.05.2022-10:32:13 loop                                          Main            Pingrequest requested
12.05.2022-10:32:14 loop                                          Main            Pingrequest requested
12.05.2022-10:32:44 loop                                          Main            Pingrequest requested
12.05.2022-10:33:14 loop                                          Main            Pingrequest requested
12.05.2022-10:33:15 loop                                          Main            Pingrequest requested
12.05.2022-10:33:45 loop                                          Main            Pingrequest requested
12.05.2022-10:34:15 loop                                          Main            Pingrequest requested
12.05.2022-10:34:16 loop                                          Main            Pingrequest requested
12.05.2022-10:34:46 loop                                          Main            Pingrequest requested
12.05.2022-10:35:16 loop                                          Main            Pingrequest requested
12.05.2022-10:35:17 loop                                          Main            Pingrequest requested
12.05.2022-10:35:47 loop                                          Main            Pingrequest requested
12.05.2022-10:36:17 loop                                          Main            Pingrequest requested
12.05.2022-10:36:18 loop                                          Main            Pingrequest requested
12.05.2022-10:36:49 loop                                          Main            Pingrequest requested
12.05.2022-10:37:19 loop                                          Main            Pingrequest requested
12.05.2022-10:37:20 loop                                          Main            Pingrequest requested
12.05.2022-10:37:50 loop                                          Main            Pingrequest requested
12.05.2022-10:38:20 loop                                          Main            Pingrequest requested
12.05.2022-10:38:21 loop                                          Main            Pingrequest requested
12.05.2022-10:38:51 loop                                          Main            Pingrequest requested
12.05.2022-10:39:07 Shutdown                                      Main            Schutdown initiated
