11.05.2022-15:59:49 main                                          DBLOG           Connecting to database
11.05.2022-15:59:50 loop                                          Main            Websiteupdate requested
11.05.2022-15:59:50 loop                                          Main            Successfully updated 3 websites
11.05.2022-15:59:50 loop                                          Main            Pingrequest requested
11.05.2022-16:00:22 loop                                          Main            Pingrequest requested
11.05.2022-16:00:37 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-16:00:52 loop                                          Main            Pingrequest requested
11.05.2022-16:00:53 loop                                          Main            Pingrequest requested
11.05.2022-16:01:07 HTTP-Dispatcher                               Main            Successfully updated 3 websites
11.05.2022-16:01:23 loop                                          Main            Pingrequest requested
