10.05.2022-15:36:51 main                                          DBLOG           Connecting to database
10.05.2022-15:36:52 main                                          Main            Webserver started
10.05.2022-15:36:53 loop                                          Main            Websiteupdate requested
10.05.2022-15:36:53 loop                                          Main            Successfully updated 3 websites
10.05.2022-15:36:53 loop                                          Main            Pingrequest requested
10.05.2022-15:37:23 loop                                          Main            Pingrequest requested
10.05.2022-15:37:53 loop                                          Main            Pingrequest requested
10.05.2022-15:37:54 loop                                          Main            Pingrequest requested
10.05.2022-15:38:24 loop                                          Main            Pingrequest requested
10.05.2022-15:38:54 Shutdown                                      Main            Schutdown initiated
10.05.2022-15:38:55 loop                                          Main            Pingrequest requested
