10.05.2022-15:40:14 main                                          DBLOG           Connecting to database
10.05.2022-15:40:14 main                                          Main            Webserver started
10.05.2022-15:40:15 loop                                          Main            Websiteupdate requested
10.05.2022-15:40:15 loop                                          Main            Successfully updated 3 websites
10.05.2022-15:40:15 loop                                          Main            Pingrequest requested
10.05.2022-15:40:46 loop                                          Main            Pingrequest requested
10.05.2022-15:41:16 loop                                          Main            Pingrequest requested
10.05.2022-15:41:17 loop                                          Main            Pingrequest requested
10.05.2022-15:41:47 loop                                          Main            Pingrequest requested
10.05.2022-15:42:17 loop                                          Main            Pingrequest requested
10.05.2022-15:42:18 loop                                          Main            Pingrequest requested
10.05.2022-15:42:48 loop                                          Main            Pingrequest requested
10.05.2022-15:42:55 Shutdown                                      Main            Schutdown initiated
