11.05.2022-10:56:40 main                                          DBLOG           Connecting to database
11.05.2022-10:56:41 loop                                          Main            Websiteupdate requested
11.05.2022-10:56:41 loop                                          Main            Successfully updated 3 websites
11.05.2022-10:56:41 loop                                          Main            Pingrequest requested
11.05.2022-10:57:12 loop                                          Main            Pingrequest requested
11.05.2022-10:57:42 loop                                          Main            Pingrequest requested
11.05.2022-10:57:43 loop                                          Main            Pingrequest requested
11.05.2022-10:58:13 loop                                          Main            Pingrequest requested
11.05.2022-10:58:43 loop                                          Main            Pingrequest requested
11.05.2022-10:58:44 loop                                          Main            Pingrequest requested
11.05.2022-10:59:14 loop                                          Main            Pingrequest requested
11.05.2022-10:59:44 loop                                          Main            Pingrequest requested
11.05.2022-10:59:45 loop                                          Main            Pingrequest requested
11.05.2022-11:00:15 loop                                          Main            Pingrequest requested
