11.05.2022-10:39:16 main                                          DBLOG           Connecting to database
11.05.2022-10:39:17 loop                                          Main            Websiteupdate requested
11.05.2022-10:39:17 loop                                          Main            Successfully updated 3 websites
11.05.2022-10:39:17 loop                                          Main            Pingrequest requested
11.05.2022-10:39:47 loop                                          Main            Pingrequest requested
11.05.2022-10:40:17 loop                                          Main            Pingrequest requested
11.05.2022-10:40:18 loop                                          Main            Pingrequest requested
11.05.2022-10:40:48 loop                                          Main            Pingrequest requested
11.05.2022-10:41:19 loop                                          Main            Pingrequest requested
11.05.2022-10:41:20 loop                                          Main            Pingrequest requested
11.05.2022-10:41:50 loop                                          Main            Pingrequest requested
11.05.2022-10:42:20 loop                                          Main            Pingrequest requested
11.05.2022-10:42:21 loop                                          Main            Pingrequest requested
11.05.2022-10:42:51 loop                                          Main            Pingrequest requested
11.05.2022-10:43:21 loop                                          Main            Pingrequest requested
11.05.2022-10:43:22 loop                                          Main            Pingrequest requested
11.05.2022-10:43:52 loop                                          Main            Pingrequest requested
11.05.2022-10:44:22 loop                                          Main            Pingrequest requested
11.05.2022-10:44:23 loop                                          Main            Pingrequest requested
11.05.2022-10:44:53 loop                                          Main            Pingrequest requested
11.05.2022-10:45:23 loop                                          Main            Pingrequest requested
11.05.2022-10:45:24 loop                                          Main            Pingrequest requested
11.05.2022-10:45:54 loop                                          Main            Pingrequest requested
11.05.2022-10:46:24 loop                                          Main            Pingrequest requested
11.05.2022-10:46:25 loop                                          Main            Pingrequest requested
11.05.2022-10:46:55 loop                                          Main            Pingrequest requested
11.05.2022-10:47:25 loop                                          Main            Pingrequest requested
11.05.2022-10:47:26 loop                                          Main            Pingrequest requested
11.05.2022-10:47:56 loop                                          Main            Pingrequest requested
11.05.2022-10:48:26 loop                                          Main            Pingrequest requested
11.05.2022-10:48:27 loop                                          Main            Pingrequest requested
11.05.2022-10:48:57 loop                                          Main            Pingrequest requested
11.05.2022-10:49:27 loop                                          Main            Pingrequest requested
11.05.2022-10:49:28 loop                                          Main            Pingrequest requested
11.05.2022-10:49:58 loop                                          Main            Pingrequest requested
11.05.2022-10:50:28 loop                                          Main            Pingrequest requested
11.05.2022-10:50:29 loop                                          Main            Pingrequest requested
11.05.2022-10:50:59 loop                                          Main            Pingrequest requested
11.05.2022-10:51:29 loop                                          Main            Pingrequest requested
11.05.2022-10:51:30 loop                                          Main            Pingrequest requested
11.05.2022-10:52:00 loop                                          Main            Pingrequest requested
11.05.2022-10:52:30 loop                                          Main            Pingrequest requested
11.05.2022-10:52:31 loop                                          Main            Pingrequest requested
11.05.2022-10:53:01 loop                                          Main            Pingrequest requested
11.05.2022-10:53:31 loop                                          Main            Pingrequest requested
11.05.2022-10:53:32 loop                                          Main            Pingrequest requested
11.05.2022-10:53:35 Shutdown                                      Main            Schutdown initiated
