11.05.2022-11:26:22 main                                          DBLOG           Connecting to database
11.05.2022-11:26:23 loop                                          Main            Websiteupdate requested
11.05.2022-11:26:23 loop                                          Main            Successfully updated 0 websites
11.05.2022-11:26:23 loop                                          Main            Pingrequest requested
11.05.2022-11:26:53 loop                                          Main            Pingrequest requested
11.05.2022-11:27:23 loop                                          Main            Pingrequest requested
11.05.2022-11:27:24 loop                                          Main            Pingrequest requested
11.05.2022-11:27:54 loop                                          Main            Pingrequest requested
11.05.2022-11:28:24 loop                                          Main            Pingrequest requested
11.05.2022-11:28:25 loop                                          Main            Pingrequest requested
11.05.2022-11:28:55 loop                                          Main            Pingrequest requested
11.05.2022-11:29:25 loop                                          Main            Pingrequest requested
11.05.2022-11:29:26 loop                                          Main            Pingrequest requested
11.05.2022-11:29:56 loop                                          Main            Pingrequest requested
11.05.2022-11:30:26 loop                                          Main            Pingrequest requested
11.05.2022-11:30:27 loop                                          Main            Pingrequest requested
11.05.2022-11:30:57 loop                                          Main            Pingrequest requested
11.05.2022-11:31:27 loop                                          Main            Pingrequest requested
11.05.2022-11:31:28 loop                                          Main            Pingrequest requested
11.05.2022-11:31:58 loop                                          Main            Pingrequest requested
11.05.2022-11:32:28 loop                                          Main            Pingrequest requested
11.05.2022-11:32:29 loop                                          Main            Pingrequest requested
11.05.2022-11:32:59 loop                                          Main            Pingrequest requested
