11.05.2022-12:55:15 main                                          DBLOG           Connecting to database
11.05.2022-12:55:16 loop                                          Main            Websiteupdate requested
11.05.2022-12:55:16 loop                                          Main            Successfully updated 2 websites
11.05.2022-12:55:16 loop                                          Main            Pingrequest requested
11.05.2022-12:55:53 loop                                          Main            Pingrequest requested
11.05.2022-12:56:29 loop                                          Main            Pingrequest requested
11.05.2022-12:56:36 loop                                          Main            Pingrequest requested
11.05.2022-12:57:06 loop                                          Main            Pingrequest requested
11.05.2022-12:57:42 loop                                          Main            Pingrequest requested
11.05.2022-12:57:49 loop                                          Main            Pingrequest requested
11.05.2022-12:58:19 loop                                          Main            Pingrequest requested
11.05.2022-12:58:55 loop                                          Main            Pingrequest requested
11.05.2022-12:59:02 loop                                          Main            Pingrequest requested
11.05.2022-12:59:32 loop                                          Main            Pingrequest requested
11.05.2022-13:00:09 loop                                          Main            Pingrequest requested
11.05.2022-13:00:16 loop                                          Main            Pingrequest requested
11.05.2022-13:00:46 loop                                          Main            Pingrequest requested
11.05.2022-13:01:22 loop                                          Main            Pingrequest requested
11.05.2022-13:01:29 loop                                          Main            Pingrequest requested
11.05.2022-13:01:59 loop                                          Main            Pingrequest requested
11.05.2022-13:02:35 loop                                          Main            Pingrequest requested
11.05.2022-13:02:42 loop                                          Main            Pingrequest requested
11.05.2022-13:03:12 loop                                          Main            Pingrequest requested
11.05.2022-13:03:48 loop                                          Main            Pingrequest requested
11.05.2022-13:03:55 loop                                          Main            Pingrequest requested
11.05.2022-13:04:25 loop                                          Main            Pingrequest requested
11.05.2022-13:05:01 loop                                          Main            Pingrequest requested
11.05.2022-13:05:08 loop                                          Main            Pingrequest requested
11.05.2022-13:05:38 loop                                          Main            Pingrequest requested
11.05.2022-13:06:14 loop                                          Main            Pingrequest requested
11.05.2022-13:06:21 loop                                          Main            Pingrequest requested
11.05.2022-13:06:51 loop                                          Main            Pingrequest requested
11.05.2022-13:07:27 loop                                          Main            Pingrequest requested
11.05.2022-13:07:34 loop                                          Main            Pingrequest requested
11.05.2022-13:08:04 loop                                          Main            Pingrequest requested
11.05.2022-13:08:40 loop                                          Main            Pingrequest requested
11.05.2022-13:08:47 loop                                          Main            Pingrequest requested
11.05.2022-13:09:17 loop                                          Main            Pingrequest requested
11.05.2022-13:09:53 loop                                          Main            Pingrequest requested
11.05.2022-13:10:00 loop                                          Main            Pingrequest requested
11.05.2022-13:10:30 loop                                          Main            Pingrequest requested
11.05.2022-13:11:06 loop                                          Main            Pingrequest requested
11.05.2022-13:11:13 loop                                          Main            Pingrequest requested
11.05.2022-13:11:43 loop                                          Main            Pingrequest requested
11.05.2022-13:12:19 loop                                          Main            Pingrequest requested
11.05.2022-13:12:26 loop                                          Main            Pingrequest requested
11.05.2022-13:12:56 loop                                          Main            Pingrequest requested
11.05.2022-13:13:33 loop                                          Main            Pingrequest requested
11.05.2022-13:13:40 loop                                          Main            Pingrequest requested
11.05.2022-13:14:10 loop                                          Main            Pingrequest requested
11.05.2022-13:14:46 loop                                          Main            Pingrequest requested
11.05.2022-13:14:53 loop                                          Main            Pingrequest requested
11.05.2022-13:15:23 loop                                          Main            Pingrequest requested
11.05.2022-13:15:59 loop                                          Main            Pingrequest requested
11.05.2022-13:16:06 loop                                          Main            Pingrequest requested
11.05.2022-13:16:36 loop                                          Main            Pingrequest requested
11.05.2022-13:17:12 loop                                          Main            Pingrequest requested
11.05.2022-13:17:19 loop                                          Main            Pingrequest requested
11.05.2022-13:17:49 loop                                          Main            Pingrequest requested
11.05.2022-13:18:25 loop                                          Main            Pingrequest requested
11.05.2022-13:18:32 loop                                          Main            Pingrequest requested
11.05.2022-13:19:02 loop                                          Main            Pingrequest requested
11.05.2022-13:19:38 loop                                          Main            Pingrequest requested
11.05.2022-13:19:45 loop                                          Main            Pingrequest requested
11.05.2022-13:20:16 loop                                          Main            Pingrequest requested
11.05.2022-13:20:52 loop                                          Main            Pingrequest requested
11.05.2022-13:20:59 loop                                          Main            Pingrequest requested
11.05.2022-13:21:29 loop                                          Main            Pingrequest requested
11.05.2022-13:22:05 loop                                          Main            Pingrequest requested
11.05.2022-13:22:12 loop                                          Main            Pingrequest requested
11.05.2022-13:22:42 loop                                          Main            Pingrequest requested
11.05.2022-13:23:18 loop                                          Main            Pingrequest requested
11.05.2022-13:23:25 loop                                          Main            Pingrequest requested
11.05.2022-13:23:55 loop                                          Main            Pingrequest requested
11.05.2022-13:24:31 loop                                          Main            Pingrequest requested
11.05.2022-13:24:38 loop                                          Main            Pingrequest requested
11.05.2022-13:25:08 loop                                          Main            Pingrequest requested
11.05.2022-13:25:44 loop                                          Main            Pingrequest requested
11.05.2022-13:25:51 loop                                          Main            Pingrequest requested
11.05.2022-13:26:21 loop                                          Main            Pingrequest requested
11.05.2022-13:26:58 loop                                          Main            Pingrequest requested
11.05.2022-13:27:05 loop                                          Main            Pingrequest requested
11.05.2022-13:27:35 loop                                          Main            Pingrequest requested
11.05.2022-13:28:11 loop                                          Main            Pingrequest requested
11.05.2022-13:28:18 loop                                          Main            Pingrequest requested
11.05.2022-13:28:48 loop                                          Main            Pingrequest requested
11.05.2022-13:29:24 loop                                          Main            Pingrequest requested
11.05.2022-13:29:31 loop                                          Main            Pingrequest requested
11.05.2022-13:30:01 loop                                          Main            Pingrequest requested
11.05.2022-13:30:37 loop                                          Main            Pingrequest requested
11.05.2022-13:30:44 loop                                          Main            Pingrequest requested
11.05.2022-13:31:14 loop                                          Main            Pingrequest requested
11.05.2022-13:31:50 loop                                          Main            Pingrequest requested
11.05.2022-13:31:58 loop                                          Main            Websiteupdate requested
11.05.2022-13:31:58 loop                                          Main            Successfully updated 2 websites
