12.05.2022-10:01:05 main                                          DBLOG           Connecting to database
12.05.2022-10:01:06 loop                                          Main            Websiteupdate requested
12.05.2022-10:01:06 loop                                          Main            Successfully updated 4 websites
12.05.2022-10:01:06 loop                                          Main            Pingrequest requested
12.05.2022-10:01:07 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:08 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:08 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:09 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:10 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:24 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:26 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:28 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:29 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:32 HTTP-Dispatcher                               Main            Successfully updated 4 websites
12.05.2022-10:01:37 loop                                          Main            Pingrequest requested
12.05.2022-10:02:08 loop                                          Main            Pingrequest requested
12.05.2022-10:02:09 loop                                          Main            Pingrequest requested
