11.05.2022-15:35:14 main                                          DBLOG           Connecting to database
11.05.2022-15:35:16 loop                                          Main            Websiteupdate requested
11.05.2022-15:35:16 loop                                          Main            Successfully updated 3 websites
11.05.2022-15:35:16 loop                                          Main            Pingrequest requested
11.05.2022-15:35:27 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:35:47 loop                                          Main            Pingrequest requested
11.05.2022-15:36:17 loop                                          Main            Pingrequest requested
11.05.2022-15:36:18 loop                                          Main            Pingrequest requested
11.05.2022-15:36:49 loop                                          Main            Pingrequest requested
11.05.2022-15:37:19 loop                                          Main            Pingrequest requested
11.05.2022-15:37:20 loop                                          Main            Pingrequest requested
11.05.2022-15:37:50 loop                                          Main            Pingrequest requested
11.05.2022-15:38:20 loop                                          Main            Pingrequest requested
11.05.2022-15:38:21 loop                                          Main            Pingrequest requested
11.05.2022-15:38:52 loop                                          Main            Pingrequest requested
11.05.2022-15:39:22 loop                                          Main            Pingrequest requested
11.05.2022-15:39:23 loop                                          Main            Pingrequest requested
11.05.2022-15:39:53 loop                                          Main            Pingrequest requested
11.05.2022-15:40:23 loop                                          Main            Pingrequest requested
11.05.2022-15:40:25 loop                                          Main            Pingrequest requested
11.05.2022-15:40:55 loop                                          Main            Pingrequest requested
11.05.2022-15:41:25 loop                                          Main            Pingrequest requested
11.05.2022-15:41:26 loop                                          Main            Pingrequest requested
