11.05.2022-15:12:35 main                                          DBLOG           Connecting to database
11.05.2022-15:12:37 loop                                          Main            Websiteupdate requested
11.05.2022-15:12:37 loop                                          Main            Successfully updated 1 websites
11.05.2022-15:12:37 loop                                          Main            Pingrequest requested
11.05.2022-15:12:43 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:12:43 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:13:14 loop                                          Main            Pingrequest requested
11.05.2022-15:13:50 loop                                          Main            Pingrequest requested
11.05.2022-15:13:57 loop                                          Main            Pingrequest requested
