11.05.2022-09:40:20 main                                          DBLOG           Connecting to database
11.05.2022-09:40:21 loop                                          Main            Websiteupdate requested
11.05.2022-09:40:21 loop                                          Main            Successfully updated 3 websites
11.05.2022-09:40:21 loop                                          Main            Pingrequest requested
11.05.2022-09:40:52 loop                                          Main            Pingrequest requested
11.05.2022-09:41:22 loop                                          Main            Pingrequest requested
11.05.2022-09:41:23 loop                                          Main            Pingrequest requested
11.05.2022-09:41:53 loop                                          Main            Pingrequest requested
11.05.2022-09:42:23 loop                                          Main            Pingrequest requested
11.05.2022-09:42:24 loop                                          Main            Pingrequest requested
11.05.2022-09:42:54 loop                                          Main            Pingrequest requested
