11.05.2022-10:33:53 main                                          DBLOG           Connecting to database
11.05.2022-10:33:54 loop                                          Main            Websiteupdate requested
11.05.2022-10:33:54 loop                                          Main            Successfully updated 3 websites
11.05.2022-10:33:54 loop                                          Main            Pingrequest requested
11.05.2022-10:34:25 loop                                          Main            Pingrequest requested
11.05.2022-10:34:55 loop                                          Main            Pingrequest requested
11.05.2022-10:34:56 loop                                          Main            Pingrequest requested
11.05.2022-10:35:26 loop                                          Main            Pingrequest requested
11.05.2022-10:35:56 loop                                          Main            Pingrequest requested
11.05.2022-10:35:57 loop                                          Main            Pingrequest requested
11.05.2022-10:36:27 loop                                          Main            Pingrequest requested
11.05.2022-10:36:57 loop                                          Main            Pingrequest requested
11.05.2022-10:36:58 loop                                          Main            Pingrequest requested
11.05.2022-10:37:28 loop                                          Main            Pingrequest requested
11.05.2022-10:37:58 loop                                          Main            Pingrequest requested
11.05.2022-10:37:59 loop                                          Main            Pingrequest requested
11.05.2022-10:38:29 loop                                          Main            Pingrequest requested
11.05.2022-10:38:55 Shutdown                                      Main            Schutdown initiated
