12.05.2022-12:17:02 main                                          DBLOG           Connecting to database
12.05.2022-12:17:03 loop                                          Main            Websiteupdate requested
12.05.2022-12:17:03 loop                                          Main            Successfully updated 7 websites
12.05.2022-12:17:03 loop                                          Main            Pingrequest requested
12.05.2022-12:17:25 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:17:35 loop                                          Main            Pingrequest requested
12.05.2022-12:18:05 loop                                          Main            Pingrequest requested
12.05.2022-12:18:07 loop                                          Main            Pingrequest requested
12.05.2022-12:18:37 loop                                          Main            Pingrequest requested
12.05.2022-12:19:08 loop                                          Main            Pingrequest requested
12.05.2022-12:19:09 loop                                          Main            Pingrequest requested
12.05.2022-12:19:31 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:19:38 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:19:40 loop                                          Main            Pingrequest requested
12.05.2022-12:19:56 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:19:56 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:19:56 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:20:11 loop                                          Main            Pingrequest requested
12.05.2022-12:20:12 loop                                          Main            Pingrequest requested
12.05.2022-12:20:17 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:20:23 HTTP-Dispatcher                               Main            Successfully updated 7 websites
12.05.2022-12:20:42 loop                                          Main            Pingrequest requested
12.05.2022-12:21:13 loop                                          Main            Pingrequest requested
12.05.2022-12:21:14 loop                                          Main            Pingrequest requested
12.05.2022-12:21:45 loop                                          Main            Pingrequest requested
12.05.2022-12:22:16 loop                                          Main            Pingrequest requested
12.05.2022-12:22:17 loop                                          Main            Pingrequest requested
12.05.2022-12:22:29 Shutdown                                      Main            Schutdown initiated
