11.05.2022-11:15:09 main                                          DBLOG           Connecting to database
11.05.2022-11:15:10 loop                                          Main            Websiteupdate requested
11.05.2022-11:15:10 loop                                          Main            Successfully updated 0 websites
11.05.2022-11:15:10 loop                                          Main            Pingrequest requested
11.05.2022-11:15:40 loop                                          Main            Pingrequest requested
11.05.2022-11:16:10 loop                                          Main            Pingrequest requested
11.05.2022-11:16:11 loop                                          Main            Pingrequest requested
11.05.2022-11:16:41 loop                                          Main            Pingrequest requested
11.05.2022-11:17:11 loop                                          Main            Pingrequest requested
11.05.2022-11:17:12 loop                                          Main            Pingrequest requested
11.05.2022-11:17:42 loop                                          Main            Pingrequest requested
