12.05.2022-12:38:52 main                                          DBLOG           Connecting to database
12.05.2022-12:38:53 loop                                          Main            Websiteupdate requested
12.05.2022-12:38:53 loop                                          Main            Successfully updated 9 websites
12.05.2022-12:38:53 loop                                          Main            Pingrequest requested
12.05.2022-12:38:55 HTTP-Dispatcher                               Main            Successfully updated 9 websites
12.05.2022-12:39:46 loop                                          Main            Pingrequest requested
12.05.2022-12:40:39 loop                                          Main            Pingrequest requested
12.05.2022-12:41:03 loop                                          Main            Pingrequest requested
12.05.2022-12:41:56 loop                                          Main            Pingrequest requested
12.05.2022-12:42:49 loop                                          Main            Pingrequest requested
12.05.2022-12:43:12 loop                                          Main            Pingrequest requested
12.05.2022-12:44:05 loop                                          Main            Pingrequest requested
12.05.2022-12:44:58 loop                                          Main            Pingrequest requested
12.05.2022-12:45:22 loop                                          Main            Pingrequest requested
12.05.2022-12:46:15 loop                                          Main            Pingrequest requested
12.05.2022-12:47:08 loop                                          Main            Pingrequest requested
12.05.2022-12:47:32 loop                                          Main            Pingrequest requested
12.05.2022-12:48:24 loop                                          Main            Pingrequest requested
12.05.2022-12:49:17 loop                                          Main            Pingrequest requested
12.05.2022-12:49:41 loop                                          Main            Pingrequest requested
12.05.2022-12:50:33 loop                                          Main            Pingrequest requested
12.05.2022-12:51:27 loop                                          Main            Pingrequest requested
12.05.2022-12:51:50 loop                                          Main            Pingrequest requested
12.05.2022-12:52:43 loop                                          Main            Pingrequest requested
12.05.2022-12:53:36 loop                                          Main            Pingrequest requested
12.05.2022-12:54:00 loop                                          Main            Pingrequest requested
12.05.2022-12:54:53 loop                                          Main            Pingrequest requested
12.05.2022-12:55:46 loop                                          Main            Pingrequest requested
12.05.2022-12:56:10 loop                                          Main            Pingrequest requested
12.05.2022-12:57:03 loop                                          Main            Pingrequest requested
12.05.2022-12:57:55 loop                                          Main            Pingrequest requested
12.05.2022-12:58:19 loop                                          Main            Pingrequest requested
12.05.2022-12:59:12 loop                                          Main            Pingrequest requested
12.05.2022-13:00:05 loop                                          Main            Pingrequest requested
12.05.2022-13:00:28 loop                                          Main            Pingrequest requested
12.05.2022-13:01:21 loop                                          Main            Pingrequest requested
12.05.2022-13:02:13 loop                                          Main            Pingrequest requested
12.05.2022-13:02:37 loop                                          Main            Pingrequest requested
