11.05.2022-09:08:25 main                                          DBLOG           Connecting to database
11.05.2022-09:08:26 loop                                          Main            Websiteupdate requested
11.05.2022-09:08:26 loop                                          Main            Successfully updated 3 websites
11.05.2022-09:08:26 loop                                          Main            Pingrequest requested
11.05.2022-09:08:57 loop                                          Main            Pingrequest requested
11.05.2022-09:09:27 loop                                          Main            Pingrequest requested
11.05.2022-09:09:28 loop                                          Main            Pingrequest requested
11.05.2022-09:09:58 loop                                          Main            Pingrequest requested
11.05.2022-09:10:28 loop                                          Main            Pingrequest requested
11.05.2022-09:10:29 loop                                          Main            Pingrequest requested
11.05.2022-09:10:59 loop                                          Main            Pingrequest requested
11.05.2022-09:11:29 loop                                          Main            Pingrequest requested
11.05.2022-09:11:30 loop                                          Main            Pingrequest requested
11.05.2022-09:12:00 loop                                          Main            Pingrequest requested
11.05.2022-09:12:30 loop                                          Main            Pingrequest requested
11.05.2022-09:12:31 loop                                          Main            Pingrequest requested
11.05.2022-09:13:02 loop                                          Main            Pingrequest requested
11.05.2022-09:13:32 loop                                          Main            Pingrequest requested
11.05.2022-09:13:33 loop                                          Main            Pingrequest requested
11.05.2022-09:13:37 Shutdown                                      Main            Schutdown initiated
