10.05.2022-13:55:00 main                                          DBLOG           Connecting to database
10.05.2022-13:55:02 loop                                          Main            Websiteupdate requested
10.05.2022-13:55:02 loop                                          Main            Successfully updated 3 websites
10.05.2022-13:55:02 loop                                          Main            Pingrequest requested
10.05.2022-13:55:32 loop                                          Main            Pingrequest requested
10.05.2022-13:56:03 loop                                          Main            Pingrequest requested
10.05.2022-13:56:04 loop                                          Main            Pingrequest requested
10.05.2022-13:56:34 loop                                          Main            Pingrequest requested
10.05.2022-13:57:04 loop                                          Main            Pingrequest requested
10.05.2022-13:57:05 loop                                          Main            Pingrequest requested
10.05.2022-13:57:35 loop                                          Main            Pingrequest requested
10.05.2022-13:58:05 loop                                          Main            Pingrequest requested
10.05.2022-13:58:06 loop                                          Main            Pingrequest requested
10.05.2022-13:58:36 loop                                          Main            Pingrequest requested
10.05.2022-13:59:06 loop                                          Main            Pingrequest requested
10.05.2022-13:59:07 loop                                          Main            Pingrequest requested
10.05.2022-13:59:15 Shutdown                                      Main            Schutdown initiated
