11.05.2022-09:37:29 main                                          DBLOG           Connecting to database
11.05.2022-09:37:31 loop                                          Main            Websiteupdate requested
11.05.2022-09:37:31 loop                                          Main            Successfully updated 3 websites
11.05.2022-09:37:31 loop                                          Main            Pingrequest requested
11.05.2022-09:38:01 loop                                          Main            Pingrequest requested
11.05.2022-09:38:31 loop                                          Main            Pingrequest requested
11.05.2022-09:38:32 loop                                          Main            Pingrequest requested
11.05.2022-09:39:02 loop                                          Main            Pingrequest requested
11.05.2022-09:39:32 loop                                          Main            Pingrequest requested
11.05.2022-09:39:33 loop                                          Main            Pingrequest requested
11.05.2022-09:39:46 Shutdown                                      Main            Schutdown initiated
