11.05.2022-15:02:14 main                                          DBLOG           Connecting to database
11.05.2022-15:02:15 loop                                          Main            Websiteupdate requested
11.05.2022-15:02:15 loop                                          Main            Successfully updated 1 websites
11.05.2022-15:02:15 loop                                          Main            Pingrequest requested
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:28 HTTP-Dispatcher                               Main            Successfully updated 2 websites
11.05.2022-15:02:51 loop                                          Main            Pingrequest requested
